Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"functions, for loops, conditional statements, string basics",Spongebob meme,,Python,CS1,2023,https://colab.research.google.com/drive/1hCKQX4pCUEtKL1HIwwspUWR4L9M29-y9?authuser=2,Stony Brook University
"functions, conditional statements, string basics","food, scrambled eggs, encryption, decryption",,Python,CS1,2023,https://colab.research.google.com/drive/112pifLwG1mF6AX2y6KselhlRfx1ktqlD?authuser=2,Stony Brook University
"functions, for loops, conditional statements, string basics, string concatentation","Sydney cipher, Caesar cipher, encryption",,Python,CS1,2023,https://colab.research.google.com/drive/1oTijIwr7AmM-uo54y0xyZl5j0-PSULhz?authuser=2,Stony Brook University
"functions, conditional statements, string basics, string concatenation, while loops, for loops, lists","ciphers, encryption, decryption",,Python,CS1,2023,https://colab.research.google.com/drive/1NMCqqt5xwJH2eMWvbqKrf6W0UjfBcxpA?authuser=2,Stony Brook University
"functions, for loops, string basics, string concatenation, conditional statements, find in string",fictional language,,Python,CS1,2023,https://colab.research.google.com/drive/1D1GQs2bhUCvOkiUKGj8zyJpxZemfOcP4?authuser=2,Stony Brook University
"functions, string basics, conditional statements, string concatenation","clock, 24 hour time",,Python,CS1,2023,https://colab.research.google.com/drive/1bChECwSc0Er5JMSI-gR9jrHDrpAWm2VO?authuser=2,Stony Brook University
"functions, string basics, lists, map","capitalize, alphabetize, words",,Python,CS1,2023,https://colab.research.google.com/drive/1E0TRSuembTEBMngYsKWIsiBBLTh7UvzR?authuser=2,Stony Brook University
"functions, lists",sports teams,,Python,CS1,2024,https://colab.research.google.com/drive/1ocLNT6--45SWzulJqvF6NOOFIHXL16l6?authuser=2,Stony Brook University
"functions, conditional statements, string basics",date comparison,,Python,CS1,2023,https://colab.research.google.com/drive/1Sdqi25VZ1pi-ch52Z2phv4LPeCQjVm60?authuser=2,Stony Brook University
"functions, string basics, lists","GPA, resume, internships",,Python,CS1,2023,https://colab.research.google.com/drive/1IyCnf3umli9wg8JnEMVGoLzIjxbn5X8m?authuser=2,Stony Brook University
"functions, lists","clubs, attendance",,Python,CS1,2023,https://colab.research.google.com/drive/11xmLhLQqlTiTh3RLEyvTJzczli5VuA1_?authuser=2,Stony Brook University
"functions, lists","top performing student, grades",,Python,CS1,2023,https://colab.research.google.com/drive/19dBDfrY99xp6Q-OeAMYgFI95KTnEkN8w?authuser=2,Stony Brook University
"functions, string basics, lists, conditional statements","shipwreck, island, calendar",,Python,CS1,2023,https://colab.research.google.com/drive/1eexeLCke6TrnERgAOK5JtZsn-7qPHuew?authuser=2,Stony Brook University
